sentiment,raw text
Negative,"WASHINGTON -- Continued weak exports and strong imports caused the U.S. trade deficit to widen to a record level in August.</br></br>The Commerce Department reported that the trade gap ballooned to $16.77 billion from a seasonally adjusted $14.55 billion in July. The August total was the largest since the department began keeping the numbers in the current format in 1992, and a department analyst estimated that it was probably the biggest since December 1985. Exports in August slipped to an adjusted $74.84 billion from $75.10 billion in July; it was the lowest figure since the $73.43 billion in shipments in January 1997.</br></br>Meanwhile, a growing number of countries continue to ship goods here to try to sell their way out of recession. Imports in August climbed to an adjusted $91.61 billion from $89.65 billion the previous month. Exports were weak across the board, reflecting the spreading economic crisis. The U.S. deficit with Japan, which is mired in recession, swelled to $5.2 billion in August from $4.54 billion a year earlier. The year-over-year comparisons provide the most accurate measurement, since these figures aren't seasonally adjusted.</br></br>The overall trade deficit with Pacific Rim countries, including Japan, surged to $15.69 billion from $11.65 billion a year earlier. The U.S. trade surplus with Brazil narrowed to $363 million from $535 million a year earlier.</br></br>The trade deficit with China, which hasn't been as affected by the Asian economic ills as most of its neighbors, also expanded in August. The red ink grew to $5.91 billion from $5.14 billion in August 1997."
Negative,"While economists have said the U.S. recession ended in late 2001, a fiscal recession continues in America's cities, according to the latest annual survey by the National League of Cities.</br></br>The survey of finance directors from 288 cities found that 63% said their cities were less able to meet financial needs during their fiscal 2004 than in the previous year. Looking ahead, 61% said their cities will be less able to meet financial needs in 2005 than in 2004. (Fiscal years start in January, July, or October depending on the city.) The survey is expected to be released today.</br></br>The financial officers blamed rising costs for employee health benefits, wages, public safety, increased infrastructure needs and employee pensions. The cities' revenues aren't keeping pace with their increased expenses. Cities' 2004 budgets predicted general-fund revenue increasing 2.6% from 2003, with general-fund expenditures expected to rise 3.6%.</br></br>""As elected officials, we can only stretch our resources so far, tighten our belts so much,"" says James C. Hunt, vice president of the Washington, D.C., league, which represents U.S. cities. Mr. Hunt also is a council member in Clarksburg, W.Va. ""We have huge responsibilities we must address and not enough resources to support them.""</br></br>Cities also cited the weak economy and insufficient state aid, reflecting the financial havoc wreaked upon states, and in turn cities, during the economic downturn. ""There was a huge [income-tax] revenue burst for cities and states in the late 1990s and it disappeared with the bursting of the stock-market bubble and business capital-investment bubble,"" says James W. Hughes, dean of the Edward J. Bloustein School of Planning and Public Policy at Rutgers University, of New Brunswick, N.J. As a result, ""most states have been in a fiscal crisis, so they have cut back or not been able to increase state aid to cities."""
Negative,"[Today's Market Forecast]</br></br>Line in the Sand</br></br>Financial officers have little to fear but the Fed itself.</br></br>Investors around the world spent the past few weeks fretting about whether the Federal Reserve will try to nip rising inflation in the bud by raising interest rates in late June. With an increase in the federal-funds rate next week to 5.25% now looking like a certainty, the focus in the days ahead shifts to whether the Fed will signal yet another increase in its benchmark interest rate in August.</br></br>A slew of economist reports out over the weekend say it is a distinct possibility that the federal-funds rate later this summer will hit 5.5%, the line in the sand for many chief financial officers."
Positive,"NEW YORK -- MasterCard Inc.'s second-quarter profit jumped 31%, beating analysts' expectations, as higher consumer spending in Latin America, Europe and Asia boosted the top line.</br></br>Though sales of discretionary items in the U.S. have slumped in recent months, the company said spending in Europe hasn't been hurt by macroeconomic uncertainty, and its Asian-Pacific and Latin America businesses continue to expand by double digits on a percentage basis.</br></br>Still, President and Chief Executive Ajay Banga said during a conference call on Tuesday that there could be ""some tempering"" in top-line growth in the second half of the year compared with the 9.7% revenue increase the company posted for the six months through June, citing an uneven pace of economic recovery, especially in the U.S., as well as tough comparisons to strong year-ago figures.</br></br>Roll-offs of some debit-card portfolios will continue to damp processed-transaction results as well, though MasterCard expects the effects of those terminated contracts to wane after the third quarter.</br></br>Shares of MasterCard fell $1.61, or 0.8%, to $200.91, in 4 p.m. New York Stock Exchange composite trading."
Negative,"Author: Edward P. Lazear</br></br>As Washington debates the fate of the 2001 and 2003 tax cuts, many lawmakers have fallen into a logical trap of their own making. Although they recognize that tax increases hurt the economy, they argue that our huge deficit requires Congress to raise revenue through a tax hike.</br></br>This argument rests on the flawed premise that we can reduce the deficit only by increasing taxes, as if high levels of spending are a given. Not so.</br></br>To reduce spending and reignite growth, this Congress or its successor should take two actions. First, immediately cut the level of spending that has been increased so dramatically since 2008. Second, institute an ""inflation-minus-one"" rule to constrain future spending increases.</br></br>Much public discussion focuses on the deficit, which is indeed at critical levels of around 10% of GDP. But even if President Obama succeeds at lowering the deficit to 4% of GDP by 2013, our public-debt-to-GDP ratio will still be dangerously high, at over 70%, or nearly twice what it was during the Bush years. As the economists Carmen Reinhart and Kenneth Rogoff have shown in the journal American Economic Review, such high debt-to-GDP ratios are associated with low growth."
Negative,"Earlier this month an ad appeared in this newspaper entitled ""Declaration of Independence: End Corporate Welfare."" It was signed by 61 top Silicon Valley executives, including me. In calling for government to end corporate pork-barrel politics, we were taking a moral stand.</br></br>The first Americans hated taxes; the Constitution limited government and, originally, banned levies on personal income. For the first two centuries of our nation, the common man became better off more quickly than any other time in history. Per capita U.S. gross domestic product grew to $28,540 in 1996 from just $919 (in 1996 dollars) in 1776. Mankind took 30,000 years to get to $919, but only 220 more years to reach $28,540. But today the American Dream is being eroded. Since 1976 annual GDP growth per capita (expressed as a 20-year rolling average) has steadily declined, to 1.5% from 2.5%. Why? In part because federal, state and local taxes now consume a whopping 35% of our national output. Current peacetime spending is higher than the 29% peak during World War I; the all-time record was 49% during World War II.</br></br>American companies should lead in the reduction of destructive government spending. Eliminating corporate welfare is a moral imperative: We should not be asking senior citizens and the poor to tighten their belts while our government is, actually subsidizes the sale of American chardonnay to the French.</br></br>Taxing and spending to support U.S. industry creates a vicious circle. With corporate taxes high, companies lobby for give-backs to remain competitive. Congress faces extreme pressure to ""bring home the pork"" to home-state corporations. That requires even higher taxes -- and the circle continues.</br></br>Corporate subsidies are often known by euphemisms such as ""government investments"" or ""government-industry partnerships."" Such Washington-speak notwithstanding, Americans are compelled to pay for silly programs like the proposal by the Commerce Department's Advanced Technology Program to genetically re-engineer cotton, making its fibers more like polyester. Technology subsidies to corporations are sold using technobabble to camouflage unjustifiable investments, which typically fall into four categories:"
Negative,"NEW YORK -- Consumer confidence fell sharply in September, the largest monthly decline since just after last October's stock-market crash.</br></br>The Conference Board's confidence index dropped 10.7 points to 109 in September, compared with a revised 119.7 in August. The seasonally adjusted index uses 1985 as a base of 100. The September index was down 6.7 points from the year-earlier level of 115.7. In November 1987, a month after the crash, the index dropped 14.3 points to 100.8.</br></br>""It is still too early to say what may have shaken consumer confidence in September,"" said Fabian Linden, executive director of the board's Consumer Research Center. ""Although a single month's reading is inconclusive, the decline in confidence is too large and widespread to be dismissed as merely a technical aberration. The latest economic statistics, showing personal income rising only about half as fast as prices, may well have caused some consumer uneasiness. Still, the present confidence figure remains well above the level that generally signals recession.""</br></br>All sections of the country registered downturns in confidence about the present economic scene as well as expectations about the future situation in the Board's September survey, which is conducted by National Family Opinion Inc., Toledo, Ohio. The Conference Board is an industry-supported, nonprofit economic research group.</br></br>""One of the purposes of the consumer confidence survey is that it gives warning signals,"" Mr. Linden said. ""We're getting warning signals."" The only positive thing about the latest survey, Mr. Linden said was that the index stood above a recession's ""historical trigger level"" of about 80. ""We're still well above a disaster level."""
Positive,"U.S. stocks surged as investors focused on hopes for an economic and corporate upturn, rather than on news of more anthrax exposure in Washington.</br></br>The major indexes once again finished the day close to their highest points since the Sept. 11 terrorist attacks.</br></br>""People are kind of adopting a stiff upper lip here, like the British in World War II,"" said stock trader Michael Driscoll at Credit Suisse First Boston. ""They are focusing on the future and not looking at the past or the present. People are looking out six to 12 months and thinking that they don't see anything that will get a lot worse.""</br></br>Technology stocks led the gains, with the Nasdaq Composite Index rising 2.2%, or 36.77 points, to 1708.08, just above its close of 1695.38 on Sept. 10, the day before the terrorist attacks. The index is almost back to the Oct. 16 level of 1722.07, the highest mark since last month's attacks.</br></br>Older industrial stocks in the Dow Jones Industrial Average also put in strong gains, as did bank stocks. The Dow industrials advanced 1.88%, or 172.92 points, to 9377.03. That still is more than 200 points below the industrial average's Sept. 10 close of 9605.51, although it is close to the average's highest post-attack close, 9410.45, on Oct. 11."
Positive,"As trading ended at the Chicago Mercantile Exchange Friday, scores of traders threw their order cards in the air, like graduates tossing their mortar boards at a high school commencement. And like many graduation exercises, Friday's stock-market session turned out to be less momentous than many had anticipated.</br></br>The final minutes of trading Friday were probably the most intensely scrutinized in the history of the stock and futures exchanges. Federal regulators, exchange officials, investors, newspaper reporters and television crews all wanted to see what market contortions might be produced by the simultaneous expiration of stock-index futures and options and individual stock options.</br></br>This quarterly phenomenon got so much attention because exchange officials and regulators are considering measures to alleviate some of the sharp price swings that sometimes result when arbitrage traders and other investors rush to even out their related positions in stocks and expiring futures and options contracts.</br></br>Friday, the Dow Jones Industrial Average was up about 11 points at 3:59 p.m. EDT; Big Board volume was about 109 million shares. By the time all the ""market on close"" orders were executed, the industrial average had gained more than 12 points to close at 1879.54, up 23.68. The final volume tally was more than 149.1 million shares, compared with 129 million Thursday.</br></br>Even so, traders on the floor of the Big Board said there were ""no surprises at the close."""
Positive,"CORPORATE PROFITS surged in the third quarter, reflecting cost-cutting efforts. A Wall Street Journal survey shows that 597 major companies' earnings rose a cumulative 24% from the 1992 period, a sharp acceleration from the 11% gain in the second quarter. But even though some profits were stellar and most exceeded expectations, analysts now worry that companies may have trouble sustaining the recent strong pace of growth.</br></br>Consumer spending rose 0.3% in September even though personal income gained only 0.1%. The trend is making many economists very upbeat about the recovery's strength.</br></br>---</br></br>Kmart agreed to sell its PayLess drugstores unit for $1 billion to the investment firm that controls Thrifty stores, and is in talks to sell many of its Pace warehouse clubs to rival WalMart, people close to the talks said.</br></br>---"
Positive,"NEW YORK -- With the U.S. economy continuing to surge ahead, the dollar won't be far behind. It is only how fast it can travel this week that is in question.</br></br>Few disagree the dollar is headed higher against the yen and euro, guided by the U.S. economy's strength relative to Europe and Japan.</br></br>In fact, last Friday's higher-than-expected employment data took a lot of uncertainty out of the market over the need for a tightening of interest rates by the U.S. Federal Reserve. The figures again underlined the U.S. economy can grow at a strong pace without inflation.</br></br>While lower U.S. rates usually mean a weaker dollar as the yield on dollar-denominated deposits declines, capital flows into the U.S. currency are increasing in line with gains in the U.S. stock market, said Joe Yuska, foreign-exchange manager at Banc One International in Dallas.</br></br>""There is nothing in the horizon that will trip up the dollar,"" said Mr. Yuska, who expects the euro could pass last week's low of $1.0785 to test $1.0680."
Negative,"[Today's Market Forecast]</br></br>Number Crunching</br></br>Stock prices are higher, the merger market is percolating, and bonds are in retreat. The bulls are starting to show teeth in their widening grins.</br></br>But Richard Bernstein, a longtime bear, can't quite believe it. The Merrill Lynch strategist, trained in the quantitative arts, sees red flags for stocks every time he cranks up his computer. Valuations are historically high. In May and June, nearly two-thirds of the economic reports he tracks came in below the consensus forecast. Most troubling, inflation barometers are losing momentum, and his calculations hint earnings growth may already have peaked. These findings would shock the smiling bulls.</br></br>""People aren't really looking at the data,"" Mr. Bernstein says. ""Instead, stocks are reacting to the Greenspan put [low short-term rates], the Bush put [hyperactive fiscal policy] and an overwhelming fear of getting left behind."""
Negative,"Brace yourself.</br></br>Over the next several weeks, hundreds of U.S. companies will report profit-and-loss statements that are going to look ugly.</br></br>According to analysts' estimates gathered by Thomson Financial/First Call, operating profits for the companies in the Standard & Poor's 500 declined 9% in the quarter ended March 31 from the year-earlier period. If the estimates hold up, it will be the sharpest drop since the 1990-91 recession. Second-quarter earnings are also expected to tumble 7% and the third-quarter outlook, while still barely positive, is rapidly deteriorating.</br></br>That's a big departure from 1999 and 2000, when year-over-year quarterly operating profits frequently grew more than 20%. But some economists say the current decline doesn't begin to tell the full story of what's in store in the coming years.</br></br>They say that even once the economy rebounds and earnings start growing again, the outsized profit gains of 1999 and 2000 are a thing of the past. Profits in the 1990s, they say, grew out of sync with the rest of the economy, lifted temporarily by tame debt and labor costs, accounting quirks and technology investments that might never yield significant returns. They say a reversion to the mean is in the works that will translate into a period of profit gains that, at best, are in the single digits. And if consumers cut back on spending in response to their stock market losses, it will only add to the profit pain."
Negative,"Dow Jones Newswires</br></br>NEW YORK -- Stocks of Aetna, Cigna and UnumProvident were especially weak as the probe of insurers appeared to be taking a bigger turn toward health-care providers. Even strength by International Business Machines and Texas Instruments couldn't lift the market.</br></br>The Dow Jones Industrial Average dropped 58.70 points, or 0.59%, to 9897.62 and the Nasdaq Composite Index lost 13.62, or 0.7%, to 1922.90. The Standard & Poor's 500-stock index fell 10.79, or 0.97%, to 1103.23, continuing its seesawing between positive and negative territory. The index is now back in the red for the year.</br></br>The insurance news rattled the market, traders said, helping to set the trend for the session.</br></br>""The hammer can drop, and this time it came from chatter about what Spitzer is doing regarding the investigations of insurance companies,"" said William Choi, trader at Pali Capital Management."
Negative,"Employers were less willing to hire in May and employees were more reluctant to quit, making it more difficult for the unemployed to find work, the Labor Department reported Tuesday.</br></br>There were about 5.7 unemployed workers for every job opening in May, up from about 5.5 a month earlier. As the growing number of job seekers meets the shrinking pool of openings means people are out of work longer, crimping consumer spending and shrinking government budgets.</br></br>""There are huge lines in front of the door of every job opening,"" said Heidi Shierholz, an economist at the Economic Policy Institute, a left-leaning think tank in Washington.</br></br>May data on job openings and labor turnover showed the drop in the rate of job openings at employers has started to flatten out. The report's silver lining was the latest in a string of indicators that show the U.S. economy may be nearing bottom.</br></br>There were 2.6 million job openings on the last day of May, about the same as a month earlier, but down from four million openings in May 2008. The seasonally adjusted job-openings rate was 1.9% in May, the same as in April and down from 2.8% in May 2008."
Negative,"The dollar slumped to a one-month low against the yen on Tuesday, as tumbling oil prices continued to fuel investors' concerns about global growth.</br></br>The dollar fell 1.2% in late-afternoon trading to 116.35 yen, its lowest in a month. The euro gained 0.6% to $1.2512, its strongest since Nov. 27.</br></br>Global oil prices fell for a fifth session in a row, with Brent crude futures ending at $59.86 a barrel, the lowest in more than five years.</br></br>Some investors are worried that oil's drop signals a softening global economy, prompting them to shed their bets on a stronger dollar and buy haven assets such as the Japanese yen and U.S. Treasurys.</br></br>""The concern is that the decline in oil prices will be more persistent, and that this will start to hurt economies and change central banks' behavior,"" said Sireen Harajli, foreign-exchange strategist at Mizuho Bank. ""So investors have headed into assets that are considered safer, like the yen and the Swiss franc, which is why we see [the dollar-yen pair] back around 116 yen."""
Negative,"NEW YORK -- Bond prices rallied yesterday amid fresh signs of slower economic growth and an unexpected $2.1 billion drop in the nation's money supply.</br></br>Analysts say these developments increase the chances that the Federal Reserve System will keep its credit policy unchanged. Until recently, many investors had feared that vigorous economic activity and rapid money growth would prompt the Fed to tighten its credit hold and drive up interest rates.</br></br>The Commerce Department yesterday estimated that the economy is growing at only a 2.1% annual rate this quarter, down from a 4.3% clip in last year's fourth quarter. The department's preliminary, or ""flash,"" estimate was well below the rate of about 4% that many analysts had been expecting.</br></br>Prices of some Treasury bonds rose almost 3/4 of a point, or nearly $7.50 for each $1,000 face amount. Most short-term interest rates declined. The economic and money-supply figures are ""good news for the bond markets because they mean, at least for the short term, that there is no real threat the Fed is going to be cranking up interest rates,"" said Robert A. Brusca, a vice president and economist at Irving Trust Co.</br></br>Donald E. Maude, chief economist at Refco Partners, agreed that the figures ""take a little pressure off the Fed"" to tighten credit conditions. But he argued that all they do is ""buy the Fed more time."" He contended that the economy and money-supply growth will reaccelerate, forcing the central bank to adopt a tougher credit policy by late next month."
Positive,"CLEVELAND -- Parker Hannifin Corp. expects ""moderate improvement"" in sales and earnings for the year ending next June 30, in spite of a continued recession in Europe, Paul G. Schloemer, president and chief executive officer, told the annual meeting.</br></br>In an interview after the meeting, Mr. Schloemer said he is comfortable with analysts' earnings estimates in the range of $1.70 to $1.90 a share for fiscal 1993.</br></br>In fiscal 1992, the industrial and aerospace products concern had earnings from continuing operations of $63.5 million, or $1.32 a share, on sales of $2.38 billion. Net income after the effects of accounting changes was $11.2 million, or 23 cents a share.</br></br>Net for the Sept. 30 first quarter was $16 million, or 33 cents a share, up from operating profit of $15.3 million, or 32 cents a share, a year earlier. Accounting changes produced a net loss in the year-earlier quarter of $37 million, or 77 cents a share. Sales for the quarter rose 6% to $608.2 million from $573.7 million.</br></br>Although business conditions in Europe aren't improving, they don't appear to be growing worse, Mr. Schloemer said. Demand for Parker products appears to have stabilized at a lower level, he said. The company gets about 25% of its sales overseas, mostly in Europe."
Positive,"NEW YORK -- U.S. stocks climbed broadly as better-than-expected data on jobs and manufacturing lifted a broad swath of stocks, including Walt Disney and Alcoa.</br></br>The Dow Jones Industrial Average rose 70.44 points, or 0.7%, to 10927.07, the highest close since Sept. 26, 2008. With the stock market closed Friday, the Dow finished the trading week up 0.7%, its fifth consecutive week of advances. That is the Dow's longest weekly winning streak since April 2009.</br></br>The measure was led by some of its most economically sensitive components. Alcoa was the best performer, jumping 46 cents, or 3.2%, to $14.70. Disney climbed 64 cents, or 1.8%, to 35.55, and Caterpillar rose 1.14, or 1.8%, to 63.99.</br></br>The Nasdaq Composite Index rose 4.62, or 0.2%, to 2402.58. The measure climbed 0.3% this week, the fifth week in the black in a row and the longest weekly win streak since May.</br></br>The Standard & Poor's 500 stock index rose 8.67, or 0.7%, to 1178.10, the highest close since Sept. 26, 2008. All of the S&P 500's sectors ended in the black, led by materials and energy. It rose 1% this week for its fifth positive week."
Negative,"The U.S. economy has hit a bump. In the first quarter of 1998 it grew at an annualized rate of 5.4%. The final second quarter numbers aren't in yet, but it appears the economy contracted by as much as 1% or 2%. Even granting that the first-quarter figures were buoyed with inventory accumulation that was worked off in the second quarter, this reversal of fortunes is remarkable.</br></br>Asia is the culprit. The continent is in an economic tailspin. Japan has had virtually no growth for six or seven years and is now officially in a recession. South Korea, Indonesia, Thailand, and Malaysia are all in serious trouble brought on by corruption, cronyism and fraud. Curiously, China remains relatively stable because it avoided the excesses of debt that ultimately ruined the other Asian economies.</br></br>Why does this matter to us? The Commerce Department reported that the U.S. trade deficit hit a record of $15.7 billion in May. As President Clinton noted at a news conference last Friday, ""almost the entire increase in the trade deficit is due to the Asian economic troubles."" The higher deficit may not matter much in the long run but in the short-term it forces U.S. companies to make costly production adjustments. Firms that manufacture widgets, both for export and to compete against foreign-made widgets in the U.S., will find themselves temporarily overstocked and will have to decrease production accordingly.</br></br>The trade deficit is likely to keep growing. If experience is any guide, many Asian businesses will do anything to keep their plants open, including dumping goods by selling at below market price in any market that can absorb them. Perhaps the only reason we haven't seen this dumping yet is that, because the Asian crises originated in their financial markets, export financing has been hard to come by.</br></br>International trade has boosted the U.S. economy for years, but now it is an economic drag and will remain so for some time to come. As Asian economies falter, foreign demand for U.S. goods and services falls. And as imports rise, U.S. companies find the competition tougher at home."
Positive,"Stock-market bulls barreled through fears of $100 oil, seizing instead on encouraging U.S. economic reports to push the Dow industrials to 12258.20, up 191.40 points, or 1.6%. Investors sold off gold for the first session in four and Treasurys fell, lifting yields to a two-week high.</br></br>---</br></br>The U.S. and Mexico unveiled an agreement that seeks to end a nearly 20-year ban on Mexican trucks crossing the U.S. border.</br></br>---</br></br>The ECB's Trichet signaled that the central bank could raise euro-zone interest rates next month, in what would be the first increase since 2008."
Negative,"Recession talk has cast a pall on the computer industry, but some desktop-computer makers are still shining.</br></br>Analysts say results for the December quarter will illustrate a continued split of the industry, in which many makers of mainframes and minicomputers post smaller gains while makers of personal computers and workstations prosper.</br></br>Digital Equipment Corp., based in Maynard, Mass. -- once a highflier that used its minicomputers to tweak the noses of oldline makers of more expensive mainframes -- is getting some nose-tweaking of its own by the likes of Mountain View, Calif.-based Sun Microsystems Inc. with less expensive, fast workstations. Thus analysts say DEC profit will drop as much as 60% in its fiscal second quarter ending Monday.</br></br>A big part of the problem for DEC and other companies such as Blue Bell, Pa.-based Unisys Corp., which analysts expect to post a fourth-quarter net loss, is the rapidly growing trend toward open systems -- computers that use standard software such as programs written for Unix operating systems. That hurts makers of proprietary systems -- those that run software written only for them.</br></br>But it's a boon for Sun and large PC makers such as Houston-based Compaq Computer Corp., which, despite recession signs, continue to post strong gains. Analyst Bruce Lupatkin of Hambrecht & Quist Inc. expects Compaq to post a 70% rise in fourth-quarter earnings to $133 million, or $1.55 a share, from the year-earlier $79 million, or 92 cents a share, on a 40% revenue gain to $1.1 billion from $788 million."
Negative,"The dollar fell 1.1% against the Japanese yen and posted smaller declines against major European currencies in activity dominated by cross-trading and technical moves.</br></br>The U.S. currency also was undercut by interest-rate increases in West Germany and rumors of a rise in the Japanese central bank's key rate. After major U.S. banks raised their prime lending rates half a point to 9 1/4% yesterday, speculation also heated up about a discount-rate increase by the Federal Reserve Board.</br></br>Rate increases overseas would tend to make dollar-denominated investments less attractive and decrease demand for the U.S. currency. Although the boost in U.S. prime rates provided some support for the dollar, traders expressed fears that higher U.S. rates will only constrain an already troubled economy and fail to help the currency.</br></br>""If the economy isn't doing well and the interest rate goes up, that is only going to hurt the economy more,"" Yani M.A. Budiman, vice president, corporate foreign exchange, at Chemical Bank, New York, said.</br></br>In late New York trading, the dollar stood at 145.20 yen, compared with 146.78 late Tuesday. The dollar was down 0.5% against the West German currency at 1.8231 marks, compared with 1.8328."
Positive,"WASHINGTON -- With signs that the job market is softening only a bit, consumer confidence remains high heading into the holiday shopping season, giving beleaguered retailers a reason to cheer.</br></br>The Labor Department said the number of first-time claims for jobless benefits climbed by an unexpectedly large 7,000 last week while a longer-term gauge hit its highest level in nearly two years. The numbers suggest that the jobless rate will increase in coming months.</br></br>Still, the unemployment picture has yet to take a bite out of consumer's confidence in the economy. The University of Michigan's index of consumer sentiment actually increased in November, surprising analysts expecting a decline due to stock-market weakness and continuing election uncertainty. The index finished the month at 107.6, nearly two points higher than its 105.8 level in October and only a few points below the record set in January.</br></br>The report offered a burst of good news for the nation's retailers, who have seen their stock prices battered in recent weeks amid evidence of slackening sales and dire predictions for a relatively weak holiday-shopping season. Most retailers' fortunes rest on the crowds of shoppers who flock to their stores between Thanksgiving and New Year's Day.</br></br>The new data suggest that such fears may be groundless. ""With the index at these levels, it would still be reasonable to expect robust growth in consumer spending,"" said Ian Shepherdson, the chief economist of High Frequency Economics in Valhalla, N.Y."
Negative,"The U.S. economy might not be getting back on its feet quite as quickly as some investors have come to believe.</br></br>The unemployment rate jumped to 5.7% in November, its highest level in more than six years, the Labor Department said Friday. Employers cut payrolls by 331,000 on a seasonally adjusted basis, taking steam out of some economists' predictions that the U.S. economy had begun to crawl out of recession.</br></br>Those predictions have helped to fuel a rally in the stock market, but the market lost ground Friday in the face of the bearish economic data, which was one of the first full glimpses of how the economy fared in November.</br></br>Economists said the jobs report removed any lingering doubts that the Federal Reserve will reduce interest rates for the 11th time in the past 12 months when it meets tomorrow.</br></br>""We're still in a recession and the door is still open to easing monetary policy,"" said Richard Berner, Morgan Stanley's chief U.S. economist. He, like many others, expects the Fed to reduce the benchmark federal-funds rate by one quarter of a percentage point to 1.75%, its lowest level since 1961."
Positive,"The dollar surged, driven by near panic buying as surprised traders rushed to cover big bets that the currency would decline. The dollar was buoyed by optimism about the U.S.'s budget deficit and trade gap.</br></br>---</br></br>Rupert Murdoch, with the prospect of a $2 billion cash infusion from News Corp.'s partnership with MCI, is on the lookout for acquisitions, and may be studying big rivals such as Time Warner, TCI and Turner Broadcasting.</br></br>---</br></br>Hilton Hotels will spin off its casino holdings. Investors, who had hoped the company would find a buyer for both its hotel and gambling operations, drove its stock sharply lower."
Negative,"Weaker earnings. Slowing growth. Rising defaults. A surge in bad loans. Not the ideal environment for making money in the stock market -- and certainly not in banking shares.</br></br>So as bank after bank announces bitter earnings surprises because of dud loans -- the latest being Bank of America this week -- how are investors making money?</br></br>In short, the strategy is to avoid the megabanks focused on corporate lending and buy banks focused on the consumer. This has yielded solid returns as smaller community lenders have soared. ""The closer you are to the consumer right now, the better,"" said David Ellison, manager at bank-fund FBR Fund Advisors, a small Boston money-management firm that has posted returns above 20% far this year.</br></br>Mr. Ellison, for one, pared back his holdings in big regional banks such as Bank of America and FleetBoston Financial, long considered leaders of the banking industry.</br></br>At the same time, he invested in lowly thrifts, unsung mortgage specialists like Golden West Financial and Astoria Financial, both of which have risen despite the current economic environment."
Negative,"The failure of the White House to promote an aggressive economic recovery plan may severely imperil GOP chances of holding on to the House and taking back control of the Senate in 2002. As economist Larry Kudlow points out, we are now officially in a private-sector recession (two straight quarters of no growth in the economy outside of government). A weak economy in 2002 will mean major and potentially catastrophic GOP losses at the polls in the crucial midterm elections.</br></br>Yet ever since the passage of the president's tax cut back in June, the GOP's legislative momentum has slammed nose first into a concrete wall erected by Tom Daschle and Dick Gephardt. Virtually every bill that now is speeding through Congress is a growth depressant. The legislative docket is filled with financially bearish legislation -- to wit, the patients' bill of rights (which will cause a rash of lawsuits and enrich the trial lawyers); the Medicare prescription drug benefit (which could cost taxpayers $300 billion over the next 10 years); the farm bill (which would give away record subsidies to the agri-business industry); and the appropriations bills (that could allow spending to grow by 8% or 9% this year). President Bush should announce that he will veto any or all of these until the economy recovers.</br></br>This is America's first New Economy recession. American investors, of all incomes, have lost an unprecedented $4 to $5 trillion in wealth in the past 18 months. There's no reassuring market signal that these losses will be recouped anytime soon and there's certainly little federal action to revive growth. These enormous wealth losses have not yet punctured consumer confidence or spending, and they have not caused many net job losses. Nor have real estate values taken a hit. Not yet, at least.</br></br>We are surfing uncharted waters. This recession is driven by a drought in investment, not a conventional drought in consumption. High risk capital investment funding -- one of the driving forces behind the powerful expansion of the mid- and late-1990s -- has dried up. Venture capital funding is down more than 50% so far this year and the IPO market is moribund.</br></br>Over the past several weeks, the White House proclamations on the economy by Larry Lindsey and Treasury Secretary Paul O'Neill have been mostly happy talk about recovery by the end of the year. Let's hope they're right. But what if they're not? Where is the economic and political contingency plan? A pep talk is not enough to rescue the economy from its doldrums. True, many Wall Street economists are also predicting a resumption of growth soon, but they have been totally wrong in predicting the direction of the economy and stock market over the past several years, so their confidence is actually discouraging."
Negative,"Small businesses expected 2011 to be the moment a years-long credit freeze would finally begin to thaw. But borrowing has only gotten worse.</br></br>Loans outstanding to small businesses totaled $609 billion at the end of March, an 8.6% drop from a year earlier, according to the most recent data from the Federal Deposit Insurance Corporation, which analyzes loans of less than $1 million.</br></br>Another lending analysis, by the Federal Reserve Bank of Kansas City, shows that big banks' outstanding loans to small businesses dropped 14% between March 2010 and March 2011, while loans by smaller lenders fell 3%.</br></br>Business owners rank access to capital as the most important issue facing privately held companies, according to a poll of 1,221 entrepreneurs released this month by Pepperdine University. In the past six months, only 17% of loan-seeking businesses with less than $5 million in annual revenue landed bank financing, the study found.</br></br>""This area of the economy is in such crisis,"" says John K. Paglia, a finance professor and senior researcher for Pepperdine's report. The lack of credit ""is improperly penalizing companies that will be very successful down the road."""
Negative,"NEW YORK -- Investors who bought U.S. Treasury bonds this year have booked modest returns. But the folks who trade the government's debt are losing their shirts.</br></br>Although $100 billion of Treasury securities are bought and sold daily on Wall Street, making the Treasury bond market by far the single biggest securities market in the world, most bond traders can't make any money.</br></br>The problem: Too many bond dealers chasing too few customers have squeezed profit margins to the bare bones. Ten years ago, a dealer typically could expect to make a $1,250 profit on a $1 million trade of Treasury notes, said Richard M. Kelly, president of bond dealer Aubrey G. Lanston & Co. Now, that profit has shrunk to just $312.50, he said.</br></br>Nowhere is the suffering worse than at the nation's primary dealers, an elite group of big commercial banks and brokerage firms that buy and sell government bonds directly with the Federal Reserve Bank of New York as it executes monetary policy. They also are required to step up and buy bonds at every Treasury auction of government securities; the dealers try to quickly resell the securities.</br></br>""It's a very tough business,"" said Thomas Pura, a partner at Goldman, Sachs & Co. and chairman of the government securities division at the Public Securities Association, a trade group. ""Spreads really are razor-thin."""
